#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1V4HUB8/27-129    -            103 Bac_globin           PF01152.28   121   3.3e-05   23.9   0.0   1   1   4.5e-07   4.4e-05   23.5   0.0    19    97     1    79     1    90 0.87 tr|A0A1V4HUB8|A0A1V4HUB8_NITVU Hemin receptor OS=Nitrobacter vulgaris OX=29421 GN=B2M20_16865 PE=3 SV=1
A0A1X1TEK1/28-127    -            100 Bac_globin           PF01152.28   121     0.047   13.8   0.1   1   1   0.00076     0.075   13.1   0.1    19   101     2    85     1    99 0.69 tr|A0A1X1TEK1|A0A1X1TEK1_9MYCO 2-polyprenylphenol hydroxylase OS=Mycolicibacterium doricum OX=126673 GN=AWC01_07245 PE=3 SV=1
A0A150AG78/45-147    -            103 Bac_globin           PF01152.28   121     0.047   13.8   0.0   1   1    0.0011      0.11   12.6   0.0    19    99     1    80     1    98 0.77 tr|A0A150AG78|A0A150AG78_9BACT Hemin receptor OS=Flammeovirga sp. SJP92 OX=1775430 GN=AVL50_18900 PE=3 SV=1
A0A2G1CG86/26-129    -            104 Bac_globin           PF01152.28   121     0.048   13.7   0.6   1   1   0.00053     0.053   13.6   0.6    19   108     2    90     1   104 0.76 tr|A0A2G1CG86|A0A2G1CG86_9RHOB GLOBIN domain-containing protein OS=Rhodobacteraceae bacterium 4F10 OX=2045445 GN=CSC82_05405 PE=3 SV=1
A0A1I5R673/25-125    -            101 Bac_globin           PF01152.28   121     0.052   13.6   0.0   1   1   0.00059     0.058   13.5   0.0    20    98     1    79     1    99 0.81 tr|A0A1I5R673|A0A1I5R673_9GAMM Hemoglobin-like flavoprotein OS=Enterovibrio norvegicus DSM 15893 OX=1121869 GN=SAMN03084138_02447 PE=3 SV=1
A0A1I4AZX8/27-130    -            104 Bac_globin           PF01152.28   121     0.053   13.6   0.0   1   1   0.00064     0.063   13.4   0.0    19    97     1    79     1    95 0.88 tr|A0A1I4AZX8|A0A1I4AZX8_9PROT Hemoglobin-like flavoprotein OS=Roseomonas stagni DSM 19981 OX=1123062 GN=SAMN02745775_104286 PE=3 SV=1
A0A0Q9IJ22/27-128    -            102 Bac_globin           PF01152.28   121     0.055   13.5   0.0   1   1    0.0016      0.16   12.1   0.0    19   108     1    89     1   101 0.75 tr|A0A0Q9IJ22|A0A0Q9IJ22_9BRAD GLOBIN domain-containing protein OS=Bosea sp. Root483D1 OX=1736544 GN=ASE66_29470 PE=3 SV=1
A0A1M4N9F6/26-130    -            105 Bac_globin           PF01152.28   121     0.055   13.5   0.0   1   1   0.00072     0.071   13.2   0.0    23   109     7    92     1   104 0.79 tr|A0A1M4N9F6|A0A1M4N9F6_9RHOB GLOBIN domain-containing protein OS=Donghicola sp. KarMa OX=1779855 GN=KARMA_4079 PE=3 SV=1
A0A1L3I958/27-130    -            104 Bac_globin           PF01152.28   121     0.056   13.5   0.0   1   1   0.00085     0.083   13.0   0.0    19   106     2    88     1   103 0.64 tr|A0A1L3I958|A0A1L3I958_9RHOB Putative globin OS=Phaeobacter porticola OX=1844006 GN=PhaeoP97_03339 PE=3 SV=1
A0A0B8MYS5/27-130    -            104 Bac_globin           PF01152.28   121     0.056   13.5   0.1   1   2      0.79        77    3.4   0.1    67    99     9    38     4    54 0.77 tr|A0A0B8MYS5|A0A0B8MYS5_9EURO Uncharacterized protein OS=Talaromyces cellulolyticus OX=1472165 GN=TCE0_043r15774 PE=3 SV=1
A0A0B8MYS5/27-130    -            104 Bac_globin           PF01152.28   121     0.056   13.5   0.1   2   2     0.018       1.8    8.7   0.0    72   102    56    86    48    97 0.84 tr|A0A0B8MYS5|A0A0B8MYS5_9EURO Uncharacterized protein OS=Talaromyces cellulolyticus OX=1472165 GN=TCE0_043r15774 PE=3 SV=1
A0A2H3IFZ3/27-130    -            104 Bac_globin           PF01152.28   121     0.056   13.5   0.1   1   2      0.79        77    3.4   0.1    67    99     9    38     4    54 0.77 tr|A0A2H3IFZ3|A0A2H3IFZ3_9EURO Globin OS=Penicillium sp. 'occitanis' OX=290292 GN=PENO1_038970 PE=3 SV=1
A0A2H3IFZ3/27-130    -            104 Bac_globin           PF01152.28   121     0.056   13.5   0.1   2   2     0.018       1.8    8.7   0.0    72   102    56    86    48    97 0.84 tr|A0A2H3IFZ3|A0A2H3IFZ3_9EURO Globin OS=Penicillium sp. 'occitanis' OX=290292 GN=PENO1_038970 PE=3 SV=1
A0A0K8PRI6/27-135    -            109 Bac_globin           PF01152.28   121     0.058   13.5   0.1   1   1   0.00061      0.06   13.4   0.1    39   107    28    95     1   106 0.77 tr|A0A0K8PRI6|A0A0K8PRI6_STRAJ Flavohemoprotein OS=Streptomyces azureus OX=146537 GN=SAZU_5335 PE=3 SV=1
A0A1Y0D3Y9/27-130    -            104 Bac_globin           PF01152.28   121     0.061   13.4   0.1   1   1    0.0018      0.18   11.9   0.1    19   106     2    91     1    99 0.68 tr|A0A1Y0D3Y9|A0A1Y0D3Y9_9GAMM Flavohemoprotein OS=Oceanisphaera profunda OX=1416627 GN=hmp PE=3 SV=1
A0A1M6CHZ0/26-131    -            106 Bac_globin           PF01152.28   121     0.062   13.4   0.1   1   1    0.0013      0.13   12.3   0.1    19   110     2    94     1   103 0.63 tr|A0A1M6CHZ0|A0A1M6CHZ0_9FLAO Nitric oxide dioxygenase OS=Flavobacterium terrae OX=415425 GN=SAMN05444363_0937 PE=3 SV=1
A0A1X4H244/59-157    -             99 Bac_globin           PF01152.28   121     0.063   13.3   0.1   1   1   0.00066     0.065   13.3   0.1    44   105    27    86     1    99 0.70 tr|A0A1X4H244|A0A1X4H244_9ACTN Flavohemoprotein OS=Streptomyces griseofuscus OX=146922 GN=BWZ23_30985 PE=3 SV=1
R4YTV2/28-131        -            104 Bac_globin           PF01152.28   121     0.066   13.3   0.3   1   1     0.003      0.29   11.2   0.3    69   102    53    86     1   100 0.85 tr|R4YTV2|R4YTV2_OLEAN Flavohemoprotein OS=Oleispira antarctica RB-8 OX=698738 GN=hmpA PE=3 SV=1
A0A1A0RA33/28-133    -            106 Bac_globin           PF01152.28   121     0.068   13.2   0.2   1   1    0.0011       0.1   12.6   0.2    19   100     2    84     1   102 0.65 tr|A0A1A0RA33|A0A1A0RA33_MYCPR 2-polyprenylphenol hydroxylase OS=Mycolicibacterium peregrinum OX=43304 GN=A5792_16090 PE=3 SV=1
A0A0C1C1C0/26-135    -            110 Bac_globin           PF01152.28   121     0.069   13.2   0.0   1   1   0.00088     0.087   12.9   0.0    44   106    34    95     1   107 0.67 tr|A0A0C1C1C0|A0A0C1C1C0_9MICC Flavohemoprotein OS=Arthrobacter sp. MWB30 OX=1534409 GN=ANMWB30_07660 PE=3 SV=1
A0A175J6C9/26-135    -            110 Bac_globin           PF01152.28   121     0.069   13.2   0.0   1   1   0.00088     0.087   12.9   0.0    44   106    34    95     1   107 0.67 tr|A0A175J6C9|A0A175J6C9_PAENI Hemin transporter OS=Paenarthrobacter nicotinovorans OX=29320 GN=CVCC1112_2385 PE=3 SV=1
A0A285HUH4/27-130    -            104 Bac_globin           PF01152.28   121      0.07   13.2   0.0   1   1    0.0015      0.14   12.2   0.0    23   104     6    86     1   103 0.76 tr|A0A285HUH4|A0A285HUH4_9RHOB Hemoglobin-like flavoprotein OS=Pseudooceanicola antarcticus OX=1247613 GN=SAMN06297129_0568 PE=3 SV=1
A0A1Z4JPG4/25-126    -            102 Bac_globin           PF01152.28   121     0.071   13.2   0.0   1   1   0.00084     0.083   13.0   0.0    19    96     2    79     1    96 0.82 tr|A0A1Z4JPG4|A0A1Z4JPG4_LEPBY Globin domain-containing protein OS=Leptolyngbya boryana NIES-2135 OX=1973484 GN=NIES2135_55240 PE=3 SV=1
A0A1H7KTF8/27-129    -            103 Bac_globin           PF01152.28   121     0.073   13.2   0.0   1   1    0.0017      0.17   12.0   0.0    19   105     1    86     1   103 0.65 tr|A0A1H7KTF8|A0A1H7KTF8_9BRAD Hemoglobin-like flavoprotein OS=Bosea lupini OX=1036779 GN=SAMN04515666_102311 PE=3 SV=1
A0A239CRT9/27-133    -            107 Bac_globin           PF01152.28   121     0.074   13.1   0.0   1   1   0.00075     0.074   13.1   0.0    69   106    57    94     2   102 0.87 tr|A0A239CRT9|A0A239CRT9_9ACTN Nitric oxide dioxygenase OS=Geodermatophilus saharensis OX=1137994 GN=SAMN04488107_1792 PE=3 SV=1
A0A0C1S7V1/90-190    -            101 Bac_globin           PF01152.28   121     0.075   13.1   0.1   1   1   0.00083     0.082   13.0   0.1    43   119    26   100     2   101 0.81 tr|A0A0C1S7V1|A0A0C1S7V1_9ACTN Uncharacterized protein OS=Streptomyces sp. RSD-27 OX=1571774 GN=PL81_28520 PE=4 SV=1
A0A1A0W614/28-133    -            106 Bac_globin           PF01152.28   121     0.075   13.1   0.1   1   1    0.0011      0.11   12.6   0.1    19   101     2    85     1   102 0.60 tr|A0A1A0W614|A0A1A0W614_MYCPR 2-polyprenylphenol hydroxylase OS=Mycolicibacterium peregrinum OX=43304 GN=A5779_23720 PE=3 SV=1
S4XMC7/101-203       -            103 Bac_globin           PF01152.28   121     0.077   13.1   0.0   1   1    0.0013      0.13   12.4   0.0    19    97     1    78     1    96 0.78 tr|S4XMC7|S4XMC7_SORCE Uncharacterized protein OS=Sorangium cellulosum So0157-2 OX=1254432 GN=SCE1572_03880 PE=4 SV=1
A0A0X3SNK3/58-160    -            103 Bac_globin           PF01152.28   121     0.077   13.1   0.1   1   1   0.00079     0.078   13.1   0.1    45   119    29   101     1   103 0.78 tr|A0A0X3SNK3|A0A0X3SNK3_9ACTN Flavohemoprotein OS=Streptomyces albus subsp. albus OX=67257 GN=ACZ90_49530 PE=3 SV=1
K9T9X7/25-126        -            102 Bac_globin           PF01152.28   121     0.077   13.1   0.1   1   1   0.00092     0.091   12.8   0.1    19    52     2    34     1    81 0.83 tr|K9T9X7|K9T9X7_9CYAN Hemoglobin-like flavoprotein OS=Pleurocapsa sp. PCC 7327 OX=118163 GN=Ple7327_4602 PE=3 SV=1
A0A101Q9P5/27-135    -            109 Bac_globin           PF01152.28   121     0.077   13.1   0.1   1   1    0.0014      0.14   12.3   0.1    18   106     1    94     1   103 0.72 tr|A0A101Q9P5|A0A101Q9P5_STRCK Hemin transporter OS=Streptomyces corchorusii OX=1903 GN=AQJ11_18710 PE=3 SV=1
A0A0Q9CVT7/27-130    -            104 Bac_globin           PF01152.28   121     0.078   13.1   0.0   1   1    0.0013      0.13   12.4   0.0    19   112     1    97     1   104 0.65 tr|A0A0Q9CVT7|A0A0Q9CVT7_9BURK GLOBIN domain-containing protein OS=Acidovorax sp. Root275 OX=1736508 GN=ASE52_16260 PE=3 SV=1
A0A2C9ZI86/23-125    -            103 Bac_globin           PF01152.28   121     0.078   13.1   0.0   1   1    0.0012      0.12   12.5   0.0    69   102    51    84    44    96 0.88 tr|A0A2C9ZI86|A0A2C9ZI86_9ACTN Flavoprotein OS=Gordonia lacunae OX=417102 GN=CA982_22190 PE=3 SV=1
A0A1W0BBP2/29-133    -            105 Bac_globin           PF01152.28   121     0.082   13.0   0.2   1   1    0.0014      0.14   12.3   0.2    35   100    16    82     2    95 0.73 tr|A0A1W0BBP2|A0A1W0BBP2_9NOCA Flavoprotein OS=Nocardia donostiensis OX=1538463 GN=B0T46_06325 PE=3 SV=1
A0A024H6K7/27-135    -            109 Bac_globin           PF01152.28   121     0.083   13.0   0.1   1   1    0.0021      0.21   11.7   0.1    19   106     2    94     1   103 0.64 tr|A0A024H6K7|A0A024H6K7_9MICC Globin family protein OS=Pseudarthrobacter siccitolerans OX=861266 GN=hmp PE=3 SV=1
A0A1A1X1E1/27-132    -            106 Bac_globin           PF01152.28   121     0.084   12.9   0.1   1   1    0.0011       0.1   12.7   0.1    48   102    37    86     2   106 0.76 tr|A0A1A1X1E1|A0A1A1X1E1_9MYCO 2-polyprenylphenol hydroxylase OS=Mycobacterium sp. ACS4331 OX=1834121 GN=A5727_01415 PE=3 SV=1
H6RLL6/27-133        -            107 Bac_globin           PF01152.28   121     0.086   12.9   0.0   1   1   0.00087     0.086   12.9   0.0    69   106    57    94     2   102 0.89 tr|H6RLL6|H6RLL6_BLASD Flavohemoprotein OS=Blastococcus saxobsidens (strain DD2) OX=1146883 GN=hmp PE=3 SV=1
A0A1E7YFH1/28-133    -            106 Bac_globin           PF01152.28   121     0.086   12.9   0.2   1   1    0.0012      0.12   12.4   0.2    52   103    41    87     1   102 0.60 tr|A0A1E7YFH1|A0A1E7YFH1_9MYCO 2-polyprenylphenol hydroxylase OS=Mycolicibacterium sp. (ex Dasyatis americana) OX=1866905 GN=BA059_06025 PE=3 SV=1
A0A1Q9WHG4/28-133    -            106 Bac_globin           PF01152.28   121     0.086   12.9   0.2   1   1    0.0012      0.12   12.4   0.2    52   103    41    87     1   102 0.60 tr|A0A1Q9WHG4|A0A1Q9WHG4_9MYCO 2-polyprenylphenol hydroxylase OS=Mycobacterium syngnathidarum OX=1908205 GN=BKG61_22750 PE=3 SV=1
A0A0Q9R241/27-136    -            110 Bac_globin           PF01152.28   121     0.086   12.9   0.1   1   1    0.0012      0.12   12.5   0.1    18   108     1    96     1   109 0.74 tr|A0A0Q9R241|A0A0Q9R241_9MICC Hemin transporter OS=Arthrobacter sp. Soil782 OX=1736410 GN=ASH00_06100 PE=3 SV=1
A0A0T6LMZ0/27-135    -            109 Bac_globin           PF01152.28   121     0.086   12.9   0.2   1   1    0.0026      0.26   11.4   0.2    18   105     1    93     1   105 0.67 tr|A0A0T6LMZ0|A0A0T6LMZ0_9ACTN Hemin transporter OS=Streptomyces vitaminophilus OX=76728 GN=AQ490_06300 PE=3 SV=1
A0A1I3AHB8/27-136    -            110 Bac_globin           PF01152.28   121     0.088   12.9   0.0   1   1    0.0027      0.27   11.3   0.0    18   108     1    96     1   109 0.71 tr|A0A1I3AHB8|A0A1I3AHB8_9MICO Hemin transporter OS=Cryobacterium levicorallinum OX=995038 GN=E3O11_04685 PE=3 SV=1
A0A0K9XLI0/28-135    -            108 Bac_globin           PF01152.28   121     0.089   12.9   0.0   1   1     0.002       0.2   11.7   0.0    19    99     1    86     1   104 0.72 tr|A0A0K9XLI0|A0A0K9XLI0_9ACTN Hemin transporter OS=Streptomyces caatingaensis OX=1678637 GN=AC230_02430 PE=3 SV=1
A0A243S0K3/27-135    -            109 Bac_globin           PF01152.28   121      0.09   12.9   0.1   1   1   0.00095     0.093   12.8   0.1    39   106    28    94     1   105 0.76 tr|A0A243S0K3|A0A243S0K3_9ACTN Hemin transporter OS=Streptomyces swartbergensis OX=487165 GN=CA983_22625 PE=3 SV=1
A0A1B7KVC6/32-137    -            106 Bac_globin           PF01152.28   121      0.09   12.8   0.3   1   1     0.011         1    9.4   0.3    67   109    53    94     1   105 0.75 tr|A0A1B7KVC6|A0A1B7KVC6_PARTM Flavohemoprotein OS=Parageobacillus thermoglucosidasius OX=1426 GN=hmp PE=3 SV=1
A0A0S8CN91/47-149    -            103 Bac_globin           PF01152.28   121     0.091   12.8   0.2   1   1    0.0013      0.12   12.4   0.2    18    98     1    81     1   101 0.77 tr|A0A0S8CN91|A0A0S8CN91_9BACT Uncharacterized protein OS=Nitrospira bacterium SG8_3 OX=1704023 GN=AMK69_14025 PE=3 SV=1
A0A1I2G5G0/28-133    -            106 Bac_globin           PF01152.28   121     0.092   12.8   0.1   1   1    0.0013      0.13   12.4   0.1    52   102    41    86     1   102 0.60 tr|A0A1I2G5G0|A0A1I2G5G0_9MYCO NAD(P)H-flavin reductase OS=Mycobacterium sp. 455mf OX=1761812 GN=SAMN04488582_101429 PE=3 SV=1
N1VY19/340-441       -            102 Bac_globin           PF01152.28   121     0.094   12.8   0.2   1   1    0.0016      0.16   12.1   0.2    19    98     2    81     1    95 0.71 tr|N1VY19|N1VY19_9LEPT Adenylate/guanylate cyclase catalytic domain protein OS=Leptospira terpstrae serovar Hualin str. LT 11-33 = ATCC 700639 OX=1257025 GN=LEP1GSC203_3683 PE=3 SV=1
A0A1H7KSZ5/27-130    -            104 Bac_globin           PF01152.28   121     0.096   12.8   0.0   1   1    0.0017      0.17   12.0   0.0    68   108    53    93    47   102 0.84 tr|A0A1H7KSZ5|A0A1H7KSZ5_9BURK Flavohemoprotein OS=Variovorax sp. YR750 OX=1884384 GN=hmp PE=3 SV=1
A0A1X1SLN6/27-132    -            106 Bac_globin           PF01152.28   121     0.096   12.8   0.1   1   1    0.0012      0.12   12.5   0.1    48   104    37    88     2   106 0.75 tr|A0A1X1SLN6|A0A1X1SLN6_9MYCO 2-polyprenylphenol hydroxylase OS=Mycolicibacterium confluentis OX=28047 GN=AWB99_14005 PE=3 SV=1
A0A1I6YJZ1/27-133    -            107 Bac_globin           PF01152.28   121     0.098   12.7   0.0   1   1   0.00099     0.098   12.7   0.0    69   105    57    93     1   102 0.80 tr|A0A1I6YJZ1|A0A1I6YJZ1_9ACTN Nitric oxide dioxygenase OS=Geodermatophilus amargosae OX=1296565 GN=SAMN05660657_01142 PE=3 SV=1
A0A0U1DBI9/28-133    -            106 Bac_globin           PF01152.28   121       0.1   12.7   0.2   1   1    0.0014      0.14   12.2   0.2    52   102    41    86     1   102 0.61 tr|A0A0U1DBI9|A0A0U1DBI9_9MYCO 2-polyprenylphenol hydroxylase OS=Mycolicibacterium conceptionense OX=451644 GN=A5726_12095 PE=3 SV=1
A0A1L6LK91/374-476   -            103 Bac_globin           PF01152.28   121       0.1   12.7   0.0   1   1     0.004       0.4   10.8   0.0    37   106    18    87     1   101 0.65 tr|A0A1L6LK91|A0A1L6LK91_9DELT Adenylate cyclase OS=Minicystis rosea OX=888845 GN=A7982_07573 PE=4 SV=1
A0A2E9TKL7/27-129    -            103 Bac_globin           PF01152.28   121       0.1   12.7   0.0   1   1    0.0017      0.17   12.0   0.0    19   108     1    89     1   101 0.80 tr|A0A2E9TKL7|A0A2E9TKL7_9GAMM Hemin receptor OS=Alcanivorax sp. OX=1872427 GN=CL544_03050 PE=3 SV=1
A0A0T7NQN0/27-129    -            103 Bac_globin           PF01152.28   121       0.1   12.7   0.5   1   1    0.0061       0.6   10.2   0.5    19   101     2    86     1    96 0.71 tr|A0A0T7NQN0|A0A0T7NQN0_YEREN Flavohemoprotein OS=Yersinia enterocolitica OX=630 GN=fsrB PE=3 SV=1
A0A2G4U481/27-129    -            103 Bac_globin           PF01152.28   121       0.1   12.7   0.5   1   1    0.0061       0.6   10.2   0.5    19   101     2    86     1    96 0.71 tr|A0A2G4U481|A0A2G4U481_YERBE Flavohemoprotein OS=Yersinia bercovieri OX=634 GN=hmp PE=3 SV=1
A0A2D9YNA0/32-136    -            105 Bac_globin           PF01152.28   121      0.11   12.6   0.0   1   1    0.0013      0.13   12.4   0.0    18    99     1    82     1   102 0.84 tr|A0A2D9YNA0|A0A2D9YNA0_9RHOB GLOBIN domain-containing protein OS=Maritimibacter sp. OX=2003363 GN=CMH12_09780 PE=3 SV=1
A0A0H5S5Y3/28-133    -            106 Bac_globin           PF01152.28   121      0.11   12.6   0.1   1   1    0.0015      0.15   12.2   0.1    52   102    41    86     1   102 0.60 tr|A0A0H5S5Y3|A0A0H5S5Y3_9MYCO Flavohemoprotein OS=Mycolicibacterium neworleansense OX=146018 GN=BN2156_03459 PE=3 SV=1
A0A2E4XS79/40-143    -            104 Bac_globin           PF01152.28   121      0.11   12.6   0.0   1   1    0.0067      0.66   10.1   0.0    19    97     1    79     1    93 0.74 tr|A0A2E4XS79|A0A2E4XS79_9PROT Hemin receptor OS=Rhodospirillaceae bacterium OX=1898112 GN=CMM59_05305 PE=3 SV=1
A0A2A7PH85/28-133    -            106 Bac_globin           PF01152.28   121      0.11   12.6   0.2   1   1    0.0016      0.15   12.1   0.2    52   102    41    86     1   101 0.61 tr|A0A2A7PH85|A0A2A7PH85_9MYCO 2-polyprenylphenol hydroxylase OS=Mycolicibacterium boenickei OX=146017 GN=CQY21_03135 PE=3 SV=1
A0A0J8U6F5/28-133    -            106 Bac_globin           PF01152.28   121      0.11   12.6   0.2   1   1    0.0015      0.15   12.1   0.2    52   102    41    86     1   102 0.61 tr|A0A0J8U6F5|A0A0J8U6F5_9MYCO 2-polyprenylphenol hydroxylase OS=Mycolicibacterium conceptionense OX=451644 GN=ACT17_19560 PE=3 SV=1
A0A0M0IM51/27-126    -            100 Bac_globin           PF01152.28   121      0.11   12.6   0.8   1   1    0.0039      0.38   10.8   0.8    69   106    54    91     1    98 0.87 tr|A0A0M0IM51|A0A0M0IM51_9VIBR Dihydropteridine reductase OS=Vibrio xuii OX=170661 GN=AKJ18_10270 PE=3 SV=1
A0A1I1LHA0/27-128    -            102 Bac_globin           PF01152.28   121      0.11   12.6   0.0   1   1    0.0013      0.13   12.3   0.0    19   102     1    83     1   100 0.73 tr|A0A1I1LHA0|A0A1I1LHA0_9GAMM Hemoglobin-like flavoprotein OS=Pseudoalteromonas denitrificans DSM 6059 OX=1123010 GN=SAMN02745724_02317 PE=3 SV=1
A0A2E1GES6/23-124    -            102 Bac_globin           PF01152.28   121      0.11   12.6   0.0   1   1    0.0021      0.21   11.7   0.0    70   107    52    89    46   101 0.85 tr|A0A2E1GES6|A0A2E1GES6_9ACTN Flavoprotein OS=Gordonia sp. OX=84139 GN=CME34_23235 PE=3 SV=1
A0A1G8I6R8/27-136    -            110 Bac_globin           PF01152.28   121      0.11   12.6   0.0   1   1    0.0014      0.13   12.3   0.0    19   107     2    95     1   109 0.71 tr|A0A1G8I6R8|A0A1G8I6R8_9MICC Nitric oxide dioxygenase OS=Arthrobacter subterraneus OX=335973 GN=SAMN04488693_106151 PE=3 SV=1
A0A1C5D2G2/123-221   -             99 Bac_globin           PF01152.28   121      0.11   12.5   0.1   1   1    0.0012      0.12   12.5   0.1    44   109    27    92     1    99 0.68 tr|A0A1C5D2G2|A0A1C5D2G2_9ACTN NAD(P)H-flavin reductase OS=Streptomyces sp. DconLS OX=1839766 GN=GA0115256_117014 PE=4 SV=1
A0A2D6AMT1/37-139    -            103 Bac_globin           PF01152.28   121      0.11   12.5   0.0   1   1    0.0013      0.13   12.4   0.0    19    95     1    76     1   103 0.77 tr|A0A2D6AMT1|A0A2D6AMT1_9BACT Hemin receptor OS=Flammeovirgaceae bacterium OX=2026740 GN=CMB80_08370 PE=3 SV=1
A0A2E8MRJ9/37-139    -            103 Bac_globin           PF01152.28   121      0.11   12.5   0.0   1   1    0.0013      0.13   12.4   0.0    19    95     1    76     1   103 0.77 tr|A0A2E8MRJ9|A0A2E8MRJ9_9RICK Hemin receptor OS=Rickettsiales bacterium OX=2026788 GN=CMP48_01500 PE=3 SV=1
A0A2I1REJ8/24-125    -            102 Bac_globin           PF01152.28   121      0.12   12.5   0.0   1   1    0.0021      0.21   11.7   0.0    69   102    50    83    41    99 0.88 tr|A0A2I1REJ8|A0A2I1REJ8_9ACTN Flavoprotein OS=Gordonia terrae OX=2055 GN=CYJ73_02565 PE=3 SV=1
H5UA97/23-125        -            103 Bac_globin           PF01152.28   121      0.12   12.5   0.0   1   1    0.0024      0.24   11.5   0.0    69   102    51    84    41    95 0.88 tr|H5UA97|H5UA97_9ACTN GLOBIN domain-containing protein OS=Gordonia terrae NBRC 100016 OX=1089454 GN=GOTRE_021_00020 PE=3 SV=1
A0A0T5Z9J7/29-130    -            102 Bac_globin           PF01152.28   121      0.12   12.5   0.0   1   1    0.0025      0.25   11.4   0.0    19   101     1    83     1   100 0.73 tr|A0A0T5Z9J7|A0A0T5Z9J7_9GAMM Uncharacterized protein OS=endosymbiont of Ridgeia piscesae OX=54398 GN=Ga0074115_10613 PE=4 SV=1
A0A0M8VYN5/26-134    -            109 Bac_globin           PF01152.28   121      0.12   12.5   0.0   1   1    0.0033      0.32   11.1   0.0    18   105     1    93     1   102 0.75 tr|A0A0M8VYN5|A0A0M8VYN5_9ACTN Hemin transporter OS=Streptomyces sp. AS58 OX=1519489 GN=ADL00_00815 PE=3 SV=1
A4AK68/27-136        -            110 Bac_globin           PF01152.28   121      0.12   12.4   0.0   1   1    0.0046      0.45   10.6   0.0    18   107     1    95     1   109 0.70 tr|A4AK68|A4AK68_9ACTN Flavohemoprotein OS=marine actinobacterium PHSC20C1 OX=312284 GN=A20C1_00450 PE=3 SV=1
A0A246HEK5/27-132    -            106 Bac_globin           PF01152.28   121      0.12   12.4   0.0   1   1    0.0027      0.26   11.3   0.0    68   110    53    95     1   104 0.85 tr|A0A246HEK5|A0A246HEK5_9BURK Nitric oxide dioxygenase OS=Mitsuaria noduli OX=2052484 GN=CDL60_06215 PE=3 SV=1
A0A1H2DJ31/84-181    -             98 Bac_globin           PF01152.28   121      0.12   12.4   0.3   1   1    0.0014      0.14   12.2   0.3    19    96     2    78     1    91 0.82 tr|A0A1H2DJ31|A0A1H2DJ31_9ACTN NAD(P)H-flavin reductase OS=Streptomyces sp. TLI_053 OX=1855352 GN=SAMN05216371_7033 PE=3 SV=1
A0A1J4Q1T8/59-160    -            102 Bac_globin           PF01152.28   121      0.12   12.4   0.1   1   1    0.0014      0.14   12.3   0.1    45   117    28    98     1   102 0.67 tr|A0A1J4Q1T8|A0A1J4Q1T8_9ACTN Flavohemoprotein OS=Streptomyces malaysiense OX=1428626 GN=VT52_017405 PE=3 SV=1
C9QFU4/27-126        -            100 Bac_globin           PF01152.28   121      0.13   12.4   1.1   1   1    0.0049      0.49   10.5   1.1    69   106    54    91     1    98 0.88 tr|C9QFU4|C9QFU4_VIBOR Bifunctional nitric oxide dioxygenase/dihydropteridine reductase 2 OS=Vibrio orientalis CIP 102891 = ATCC 33934 OX=675816 GN=VIOR3934_20110 PE=3 SV=1
A0A0B4DP35/27-127    -            101 Bac_globin           PF01152.28   121      0.13   12.3   0.0   1   1    0.0082       0.8    9.8   0.0    72   109    54    91    13   101 0.79 tr|A0A0B4DP35|A0A0B4DP35_9RHOB Flavohemoprotein OS=Leisingera sp. ANG1 OX=1002340 GN=GC1_20635 PE=3 SV=1
A0A1G6N8K3/26-128    -            103 Bac_globin           PF01152.28   121      0.13   12.3   0.0   1   1    0.0015      0.14   12.2   0.0    27   104    11    86     1   101 0.68 tr|A0A1G6N8K3|A0A1G6N8K3_9RHOB Hemoglobin-like flavoprotein OS=Ruegeria marina OX=639004 GN=SAMN04488239_10366 PE=3 SV=1
A0A0R3DF04/27-128    -            102 Bac_globin           PF01152.28   121      0.14   12.3   0.0   1   1    0.0016      0.16   12.1   0.0    19    84     1    65     1    92 0.73 tr|A0A0R3DF04|A0A0R3DF04_9BRAD Hemin receptor OS=Bradyrhizobium manausense OX=989370 GN=AOQ71_27775 PE=3 SV=1
A0A2J8GCG3/27-135    -            109 Bac_globin           PF01152.28   121      0.14   12.3   0.1   1   1    0.0021      0.21   11.7   0.1    48   106    37    94     1   106 0.65 tr|A0A2J8GCG3|A0A2J8GCG3_9MICC Hemin transporter OS=Arthrobacter sp. AFG20 OX=1688671 GN=CXZ05_11185 PE=3 SV=1
A0A2A2M6Z7/27-130    -            104 Bac_globin           PF01152.28   121      0.14   12.3   0.4   1   1     0.012       1.2    9.3   0.4    19    98     2    83     1    90 0.63 tr|A0A2A2M6Z7|A0A2A2M6Z7_9GAMM Flavohemoprotein OS=Hafnia paralvei OX=546367 GN=hmpA PE=3 SV=1
