#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
A0A1Y6G5Q4/8-122     -            115 Bac_globin           PF01152.28   121   2.7e-08   32.6   0.2   1   1   2.2e-09   3.5e-08   32.2   0.2     9   118     1   109     1   112 0.84 tr|A0A1Y6G5Q4|A0A1Y6G5Q4_9BACI Truncated hemoglobin YjbI OS=Bacillus sp. OV166 OX=1882763 GN=SAMN05444673_4194 PE=4 SV=1
A0A0N0S2V0/41-191    -            151 Bac_globin           PF01152.28   121    0.0022   16.7   0.0   1   1   0.00018     0.003   16.3   0.0    11    58    28    74    25   137 0.77 tr|A0A0N0S2V0|A0A0N0S2V0_9BACI Methyl-accepting transducer domain-containing protein OS=Lysinibacillus sp. FJAT-14222 OX=1932366 GN=AN161_04290 PE=4 SV=1
A0A268ACV9/40-193    -            154 Bac_globin           PF01152.28   121    0.0023   16.7   0.0   1   1   0.00019    0.0031   16.3   0.0    10    70    29    90    27   136 0.83 tr|A0A268ACV9|A0A268ACV9_9BACI Methyl-accepting transducer domain-containing protein OS=Terribacillus saccharophilus OX=361277 GN=CHH64_04760 PE=4 SV=1
A0A1R0XTN7/7-156     -            150 Bac_globin           PF01152.28   121    0.0023   16.7   0.0   1   1   0.00023    0.0038   16.0   0.0    10    57    28    74    26    93 0.86 tr|A0A1R0XTN7|A0A1R0XTN7_9BACL Chemotaxis protein OS=Paenibacillus odorifer OX=189426 GN=BSK52_19540 PE=4 SV=1
A0A089IRN9/7-156     -            150 Bac_globin           PF01152.28   121    0.0023   16.7   0.0   1   1   0.00023    0.0038   16.0   0.0    10    57    28    74    26    93 0.86 tr|A0A089IRN9|A0A089IRN9_9BACL Chemotaxis protein OS=Paenibacillus sp. FSL H7-0737 OX=1536775 GN=H70737_26895 PE=4 SV=1
A0A1R0ZDL3/7-156     -            150 Bac_globin           PF01152.28   121    0.0023   16.7   0.0   1   1   0.00023    0.0038   16.0   0.0    10    57    28    74    26    93 0.86 tr|A0A1R0ZDL3|A0A1R0ZDL3_9BACL Chemotaxis protein OS=Paenibacillus odorifer OX=189426 GN=BSK65_19295 PE=4 SV=1
A0A0W1ASY5/7-156     -            150 Bac_globin           PF01152.28   121    0.0024   16.6   0.0   1   1   0.00024    0.0038   16.0   0.0    10    57    28    74    26    92 0.85 tr|A0A0W1ASY5|A0A0W1ASY5_9BACL Chemotaxis protein OS=Paenibacillus etheri OX=1306852 GN=UQ64_26080 PE=4 SV=1
A0A1D9G3B4/16-156    -            141 Bac_globin           PF01152.28   121    0.0024   16.6   0.0   1   1   0.00022    0.0035   16.1   0.0     9   114    19   126    17   131 0.79 tr|A0A1D9G3B4|A0A1D9G3B4_9CYAN Uncharacterized protein OS=Moorea producens JHB OX=1454205 GN=BJP36_21045 PE=4 SV=1
A0A264DQ15/8-156     -            149 Bac_globin           PF01152.28   121    0.0024   16.6   0.0   1   1   0.00022    0.0035   16.1   0.0    11    57    28    73    20    92 0.85 tr|A0A264DQ15|A0A264DQ15_9BACL Chemotaxis protein OS=Paenibacillus sp. VTT E-133280 OX=1986222 GN=CA600_15200 PE=4 SV=1
A0A231RCI2/8-157     -            150 Bac_globin           PF01152.28   121    0.0027   16.4   0.0   1   1    0.0003    0.0049   15.6   0.0    12    57    29    73    24    97 0.86 tr|A0A231RCI2|A0A231RCI2_9BACL Chemotaxis protein OS=Cohnella sp. CIP 111063 OX=1955714 GN=B1A99_18355 PE=4 SV=1
A0A1D8TVB0/16-156    -            141 Bac_globin           PF01152.28   121    0.0027   16.4   0.0   1   1   0.00025     0.004   15.9   0.0     9   114    19   126    17   131 0.79 tr|A0A1D8TVB0|A0A1D8TVB0_9CYAN Uncharacterized protein OS=Moorea producens PAL-8-15-08-1 OX=1458985 GN=BJP34_21005 PE=4 SV=1
A0A1U7N4K2/16-156    -            141 Bac_globin           PF01152.28   121    0.0027   16.4   0.0   1   1   0.00025     0.004   15.9   0.0     9   114    19   126    17   131 0.79 tr|A0A1U7N4K2|A0A1U7N4K2_9CYAN Uncharacterized protein OS=Moorea bouillonii PNG OX=568701 GN=BJP37_19530 PE=4 SV=1
A0A0K9H9R9/33-186    -            154 Bac_globin           PF01152.28   121    0.0028   16.4   0.2   1   1   0.00026    0.0042   15.8   0.2    10   112    29   134    27   143 0.71 tr|A0A0K9H9R9|A0A0K9H9R9_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus sp. FJAT-27231 OX=1679168 GN=AC623_18045 PE=4 SV=1
A0A3A6PLN3/32-210    -            179 Bac_globin           PF01152.28   121    0.0028   16.4   0.6   1   2     0.013      0.21   10.3   0.2    11    62    29    80    26   102 0.81 tr|A0A3A6PLN3|A0A3A6PLN3_9EURY Methyl-accepting chemotaxis protein OS=Halonotius sp. F13-13 OX=2216978 GN=DM826_12075 PE=4 SV=1
A0A3A6PLN3/32-210    -            179 Bac_globin           PF01152.28   121    0.0028   16.4   0.6   2   2      0.73        12    4.7   0.0    79   120   117   158   113   159 0.88 tr|A0A3A6PLN3|A0A3A6PLN3_9EURY Methyl-accepting chemotaxis protein OS=Halonotius sp. F13-13 OX=2216978 GN=DM826_12075 PE=4 SV=1
A0A351SD16/18-167    -            150 Bac_globin           PF01152.28   121    0.0029   16.4   0.0   1   1   0.00021    0.0034   16.1   0.0     9   115    27   132    17   138 0.82 tr|A0A351SD16|A0A351SD16_9GAMM GGDEF domain-containing protein OS=Gammaproteobacteria bacterium OX=1913989 GN=DCZ12_04345 PE=4 SV=1
A0A3D3T4E0/18-167    -            150 Bac_globin           PF01152.28   121    0.0029   16.4   0.0   1   1   0.00021    0.0034   16.1   0.0     9   115    27   132    17   138 0.82 tr|A0A3D3T4E0|A0A3D3T4E0_9GAMM GGDEF domain-containing protein OS=Porticoccaceae bacterium OX=2026782 GN=DIT58_11880 PE=4 SV=1
A0A2V7GQS8/6-158     -            153 Bac_globin           PF01152.28   121    0.0029   16.3   0.1   1   1   0.00024    0.0039   15.9   0.1     9    97    26   114    24   137 0.71 tr|A0A2V7GQS8|A0A2V7GQS8_9BACT Histidine kinase OS=Gemmatimonadetes bacterium OX=2026742 GN=DMD33_19945 PE=4 SV=1
F4XX54/16-156        -            141 Bac_globin           PF01152.28   121     0.003   16.3   0.0   1   1   0.00027    0.0044   15.8   0.0     9   114    19   126    17   131 0.80 tr|F4XX54|F4XX54_9CYAN Uncharacterized protein OS=Moorea producens 3L OX=489825 GN=LYNGBM3L_45230 PE=4 SV=1
A0A163FJX6/9-157     -            149 Bac_globin           PF01152.28   121     0.003   16.3   0.0   1   1    0.0003    0.0048   15.6   0.0    10    54    26    69    24    97 0.81 tr|A0A163FJX6|A0A163FJX6_9BACL Chemotaxis protein OS=Paenibacillus glucanolyticus OX=59843 GN=AWU65_30700 PE=4 SV=1
W4B6M6/9-157         -            149 Bac_globin           PF01152.28   121     0.003   16.3   0.0   1   1    0.0003    0.0048   15.6   0.0    10    54    26    69    24    97 0.81 tr|W4B6M6|W4B6M6_9BACL Methyl-accepting chemotaxis sensory transducer OS=Paenibacillus sp. FSL R5-808 OX=1227076 GN=C169_10018 PE=4 SV=1
A0A1Y5JPS4/9-153     -            145 Bac_globin           PF01152.28   121     0.003   16.3   0.0   1   1   0.00028    0.0045   15.7   0.0    10    57    26    72    24    97 0.69 tr|A0A1Y5JPS4|A0A1Y5JPS4_9BACL Chemotaxis protein OS=Paenibacillus sp. MY03 OX=302980 GN=B1748_33945 PE=4 SV=1
A0A2R5ELJ7/9-153     -            145 Bac_globin           PF01152.28   121    0.0031   16.3   0.0   1   1   0.00028    0.0045   15.7   0.0    10    57    26    72    24    97 0.69 tr|A0A2R5ELJ7|A0A2R5ELJ7_9BACL Chemotaxis protein OS=Paenibacillus agaridevorans OX=171404 GN=PAT3040_01046 PE=4 SV=1
A0A369AXU4/45-197    -            153 Bac_globin           PF01152.28   121    0.0032   16.2   0.1   1   1    0.0003    0.0048   15.6   0.1    11   116    30   134    27   139 0.82 tr|A0A369AXU4|A0A369AXU4_9BACL Heme-based aerotactic transducer OS=Fontibacillus phaseoli OX=1416533 GN=DFP94_11845 PE=4 SV=1
A0A1E5LFD9/59-206    -            148 Bac_globin           PF01152.28   121    0.0032   16.2   0.0   1   1    0.0003    0.0048   15.6   0.0    10    57    25    71    22    99 0.87 tr|A0A1E5LFD9|A0A1E5LFD9_9BACI Chemotaxis protein OS=Bacillus solimangrovi OX=1305675 GN=BFG57_02085 PE=4 SV=1
A0A1I0TC00/52-201    -            150 Bac_globin           PF01152.28   121    0.0032   16.2   0.0   1   1   0.00033    0.0054   15.5   0.0    10    57    27    73    25    95 0.84 tr|A0A1I0TC00|A0A1I0TC00_9BACI Heam-based aerotactic trancducer OS=Anoxybacillus pushchinoensis OX=150248 GN=SAMN05216169_102039 PE=4 SV=1
A0A0B0HTQ2/8-157     -            150 Bac_globin           PF01152.28   121    0.0033   16.2   0.0   1   1   0.00033    0.0053   15.5   0.0    10    57    27    73    25    97 0.82 tr|A0A0B0HTQ2|A0A0B0HTQ2_9BACL Heme-based aerotactic transducer HemAT OS=Paenibacillus sp. P1XP2 OX=1472719 GN=hemAT_2 PE=4 SV=1
A0A2A5LAI4/44-195    -            152 Bac_globin           PF01152.28   121    0.0034   16.1   0.0   1   1    0.0018     0.029   13.1   0.0     9    64    27    83    26   100 0.81 tr|A0A2A5LAI4|A0A2A5LAI4_PAELA Uncharacterized protein OS=Paenibacillus lautus OX=1401 GN=CPZ30_29160 PE=4 SV=1
A0A1I1YVB0/18-164    -            147 Bac_globin           PF01152.28   121    0.0034   16.1   0.0   1   1   0.00028    0.0045   15.7   0.0     9    57    26    73    25   106 0.87 tr|A0A1I1YVB0|A0A1I1YVB0_9DELT PAS domain S-box-containing protein OS=Nannocystis exedens OX=54 GN=SAMN02745121_03563 PE=4 SV=1
L0EB53/8-157         -            150 Bac_globin           PF01152.28   121    0.0034   16.1   0.0   1   1   0.00037     0.006   15.3   0.0    12    57    29    73    24    84 0.86 tr|L0EB53|L0EB53_THECK Methyl-accepting chemotaxis protein OS=Thermobacillus composti (strain DSM 18247 / JCM 13945 / KWC4) OX=717605 GN=Theco_0718 PE=4 SV=1
A0A178T5A7/60-170    -            111 Bac_globin           PF01152.28   121    0.0035   16.1   0.0   1   1   0.00029    0.0046   15.7   0.0    10    57    26    72    24    94 0.84 tr|A0A178T5A7|A0A178T5A7_9BACI Methyl-accepting chemotaxis protein OS=Anoxybacillus flavithermus OX=33934 GN=TAF16_2869 PE=4 SV=1
A0A2U1JZ49/40-191    -            152 Bac_globin           PF01152.28   121    0.0035   16.1   0.0   1   1   0.00029    0.0046   15.7   0.0    11    84    30   100    27   140 0.72 tr|A0A2U1JZ49|A0A2U1JZ49_9BACI Chemotaxis protein OS=Pueribacillus theae OX=2171751 GN=DCC39_12205 PE=4 SV=1
A0A3D0IXP9/29-181    -            153 Bac_globin           PF01152.28   121    0.0035   16.1   0.6   1   1   0.00029    0.0047   15.7   0.6    14   115    32   134    26   140 0.84 tr|A0A3D0IXP9|A0A3D0IXP9_9BACL Chemotaxis protein OS=Brevibacillus sp. OX=1882945 GN=DEP07_26145 PE=4 SV=1
A0A3M8E922/29-181    -            153 Bac_globin           PF01152.28   121    0.0035   16.1   0.6   1   1   0.00029    0.0047   15.7   0.6    14   115    32   134    26   140 0.84 tr|A0A3M8E922|A0A3M8E922_BREPA Chemotaxis protein OS=Brevibacillus parabrevis OX=54914 GN=EDM60_05950 PE=4 SV=1
A0A1G4TG40/45-197    -            153 Bac_globin           PF01152.28   121    0.0035   16.1   0.0   1   1   0.00032    0.0051   15.5   0.0     9   104    28   122    27   139 0.69 tr|A0A1G4TG40|A0A1G4TG40_9BACL Heam-based aerotactic trancducer OS=Paenibacillus tianmuensis OX=624147 GN=SAMN04487970_104920 PE=4 SV=1
M8E0T5/59-208        -            150 Bac_globin           PF01152.28   121    0.0035   16.1   0.0   1   1   0.00033    0.0054   15.5   0.0    10    57    27    73    25    95 0.84 tr|M8E0T5|M8E0T5_9BACI Methyl-accepting chemotaxis protein OS=Anoxybacillus flavithermus AK1 OX=1297581 GN=H919_04939 PE=4 SV=1
A0A1M5VXQ0/32-181    -            150 Bac_globin           PF01152.28   121    0.0035   16.1   0.0   1   1   0.00028    0.0046   15.7   0.0    11    66    28    84    26   134 0.78 tr|A0A1M5VXQ0|A0A1M5VXQ0_9BACI Heam-based aerotactic trancducer OS=Virgibacillus chiguensis OX=411959 GN=SAMN05421807_11426 PE=4 SV=1
A0A2S4M7J5/17-168    -            152 Bac_globin           PF01152.28   121    0.0036   16.0   0.0   1   1   0.00035    0.0056   15.4   0.0    11    57    29    75    26    95 0.83 tr|A0A2S4M7J5|A0A2S4M7J5_9BURK Methyl-accepting chemotaxis protein OS=Paraburkholderia eburnea OX=1189126 GN=B0G62_10870 PE=4 SV=1
A0A3D0IWL5/46-197    -            152 Bac_globin           PF01152.28   121    0.0036   16.0   0.0   1   1   0.00034    0.0054   15.5   0.0     9    57    27    74    26   132 0.78 tr|A0A3D0IWL5|A0A3D0IWL5_9BACL Methyl-accepting transducer domain-containing protein OS=Brevibacillus sp. OX=1882945 GN=DEP07_23760 PE=4 SV=1
A0A1H9G6E5/29-181    -            153 Bac_globin           PF01152.28   121    0.0039   15.9   0.1   1   1   0.00035    0.0056   15.4   0.1    10   111    28   132    26   141 0.67 tr|A0A1H9G6E5|A0A1H9G6E5_9BACI Heam-based aerotactic trancducer OS=Piscibacillus halophilus OX=571933 GN=SAMN05216362_11438 PE=4 SV=1
A0A3C1QST6/13-168    -            156 Bac_globin           PF01152.28   121    0.0039   15.9   0.0   1   1   0.00034    0.0055   15.5   0.0    12   102    29   119    25   133 0.78 tr|A0A3C1QST6|A0A3C1QST6_9PLAN Histidine kinase domain-containing protein OS=Planctomycetaceae bacterium OX=2026779 GN=DCQ98_04945 PE=4 SV=1
A0A0A3I9A8/32-182    -            151 Bac_globin           PF01152.28   121    0.0041   15.9   0.0   1   1   0.00039    0.0063   15.2   0.0    10    82    28    99    26   139 0.70 tr|A0A0A3I9A8|A0A0A3I9A8_9BACI Chemotaxis protein OS=Lysinibacillus manganicus DSM 26584 OX=1384049 GN=CD29_06620 PE=4 SV=1
A0A1H8A8Y2/31-184    -            154 Bac_globin           PF01152.28   121    0.0043   15.8   0.0   1   1   0.00037     0.006   15.3   0.0    10    70    29    90    27   130 0.83 tr|A0A1H8A8Y2|A0A1H8A8Y2_9BACI Heam-based aerotactic trancducer OS=Terribacillus saccharophilus OX=361277 GN=SAMN04489762_0691 PE=4 SV=1
A0A075LKC6/31-184    -            154 Bac_globin           PF01152.28   121    0.0044   15.8   0.0   1   1   0.00037     0.006   15.3   0.0    10    70    29    90    27   130 0.83 tr|A0A075LKC6|A0A075LKC6_9BACI Methyl-accepting transducer domain-containing protein OS=Terribacillus goriensis OX=386490 GN=GZ22_07820 PE=4 SV=1
A0A2W4KQU7/10-129    -            120 Bac_globin           PF01152.28   121    0.0044   15.8   0.1   1   1   0.00037    0.0059   15.4   0.1    13    78    28    92    23   118 0.80 tr|A0A2W4KQU7|A0A2W4KQU7_9FIRM Methyl-accepting transducer domain-containing protein OS=Firmicutes bacterium OX=1879010 GN=DIU69_00535 PE=4 SV=1
A0A2E8R248/18-173    -            156 Bac_globin           PF01152.28   121    0.0044   15.8   0.0   1   1   0.00036    0.0059   15.4   0.0    10    97    29   115    27   139 0.74 tr|A0A2E8R248|A0A2E8R248_9PROT GGDEF domain-containing protein OS=Rhodospirillaceae bacterium OX=1898112 GN=CMM31_09835 PE=4 SV=1
A0A2I0QRQ9/32-185    -            154 Bac_globin           PF01152.28   121    0.0046   15.7   0.1   1   1   0.00085     0.014   14.2   0.0    11    57    30    75    27   100 0.78 tr|A0A2I0QRQ9|A0A2I0QRQ9_9BACI Chemotaxis protein OS=Halalkalibacillus sp. B3227 OX=2018042 GN=CEY16_09755 PE=4 SV=1
U1NTJ2/32-210        -            179 Bac_globin           PF01152.28   121    0.0047   15.7   0.5   1   2      0.01      0.17   10.7   0.1    11    74    29    92    26   102 0.82 tr|U1NTJ2|U1NTJ2_9EURY Methyl-accepting chemotaxis protein OS=Halonotius sp. J07HN4 OX=1070774 GN=J07HN4v3_02898 PE=4 SV=1
U1NTJ2/32-210        -            179 Bac_globin           PF01152.28   121    0.0047   15.7   0.5   2   2       1.7        28    3.5   0.0    79   120   117   158   113   159 0.90 tr|U1NTJ2|U1NTJ2_9EURY Methyl-accepting chemotaxis protein OS=Halonotius sp. J07HN4 OX=1070774 GN=J07HN4v3_02898 PE=4 SV=1
A0A0M2VRK9/7-156     -            150 Bac_globin           PF01152.28   121    0.0047   15.7   0.0   1   1   0.00041    0.0067   15.2   0.0    11    57    29    74    24    98 0.84 tr|A0A0M2VRK9|A0A0M2VRK9_9BACL Chemotaxis protein OS=Paenibacillus sp. DMB20 OX=1642570 GN=XI25_11575 PE=4 SV=1
A6G8S9/14-164        -            151 Bac_globin           PF01152.28   121    0.0047   15.7   0.1   1   1   0.00044     0.007   15.1   0.1    11    73    26    88    23   120 0.77 tr|A6G8S9|A6G8S9_9DELT Histidine kinase OS=Plesiocystis pacifica SIR-1 OX=391625 GN=PPSIR1_38781 PE=4 SV=1
A0A1D7MMI3/8-157     -            150 Bac_globin           PF01152.28   121    0.0048   15.6   0.0   1   1   0.00046    0.0074   15.0   0.0    11    57    28    73    21    83 0.82 tr|A0A1D7MMI3|A0A1D7MMI3_PAEPO Chemotaxis protein OS=Paenibacillus polymyxa OX=1406 GN=AOU00_20490 PE=4 SV=1
A0A2K1EN62/8-157     -            150 Bac_globin           PF01152.28   121    0.0048   15.6   0.0   1   1   0.00046    0.0074   15.0   0.0    11    57    28    73    21    83 0.82 tr|A0A2K1EN62|A0A2K1EN62_9BACL Chemotaxis protein OS=Paenibacillus sp. F4 OX=357385 GN=C1T21_10750 PE=4 SV=1
A0A163UEJ3/8-157     -            150 Bac_globin           PF01152.28   121    0.0048   15.6   0.0   1   1   0.00047    0.0077   15.0   0.0    11    57    28    73    21    82 0.83 tr|A0A163UEJ3|A0A163UEJ3_9BACL Chemotaxis protein OS=Paenibacillus jamilae OX=114136 GN=AV545_13755 PE=4 SV=1
A0A1A0G818/8-157     -            150 Bac_globin           PF01152.28   121    0.0048   15.6   0.0   1   1   0.00047    0.0077   15.0   0.0    11    57    28    73    21    82 0.83 tr|A0A1A0G818|A0A1A0G818_PAEPO Chemotaxis protein OS=Paenibacillus polymyxa OX=1406 GN=A9P44_00580 PE=4 SV=1
A0A3N5HBB4/10-160    -            151 Bac_globin           PF01152.28   121    0.0049   15.6   0.0   1   1   0.00042    0.0068   15.2   0.0     7    83    21    97    19   132 0.76 tr|A0A3N5HBB4|A0A3N5HBB4_9DELT Sensor histidine kinase OS=Myxococcaceae bacterium OX=2484252 GN=EHM78_06645 PE=4 SV=1
A0A1B8VY37/7-156     -            150 Bac_globin           PF01152.28   121    0.0049   15.6   0.0   1   1   0.00051    0.0082   14.9   0.0    11    57    29    74    25    99 0.84 tr|A0A1B8VY37|A0A1B8VY37_9BACI Chemotaxis protein OS=Bacillus sp. FJAT-26390 OX=1743142 GN=A7975_24570 PE=4 SV=1
A0A0S9LPQ1/32-182    -            151 Bac_globin           PF01152.28   121    0.0049   15.6   0.0   1   1   0.00039    0.0063   15.3   0.0    11   118    30   137    27   140 0.84 tr|A0A0S9LPQ1|A0A0S9LPQ1_9BURK GGDEF domain-containing protein OS=Pseudorhodoferax sp. Leaf265 OX=1736315 GN=ASF45_30265 PE=4 SV=1
A0A2W5J7L9/32-182    -            151 Bac_globin           PF01152.28   121    0.0049   15.6   0.0   1   1   0.00039    0.0063   15.3   0.0    11   118    30   137    27   140 0.84 tr|A0A2W5J7L9|A0A2W5J7L9_VARPD GGDEF domain-containing protein OS=Variovorax paradoxus OX=34073 GN=DI587_06850 PE=4 SV=1
A0A150SHA9/13-162    -            150 Bac_globin           PF01152.28   121     0.005   15.6   0.0   1   1   0.00039    0.0064   15.2   0.0    10    59    28    76    25   125 0.84 tr|A0A150SHA9|A0A150SHA9_SORCE Histidine kinase OS=Sorangium cellulosum OX=56 GN=BE17_21160 PE=4 SV=1
A0A268BT14/40-193    -            154 Bac_globin           PF01152.28   121     0.005   15.6   0.0   1   1   0.00041    0.0066   15.2   0.0     9    70    28    90    27   132 0.81 tr|A0A268BT14|A0A268BT14_9BACI Methyl-accepting transducer domain-containing protein OS=Terribacillus sp. 7520-G OX=2025389 GN=CHH53_05685 PE=4 SV=1
A0A0D3VC80/9-157     -            149 Bac_globin           PF01152.28   121     0.005   15.6   0.0   1   1   0.00051    0.0082   14.9   0.0    12    64    28    81    25    94 0.83 tr|A0A0D3VC80|A0A0D3VC80_9BACL Chemotaxis protein OS=Paenibacillus sp. IHBB 10380 OX=1566358 GN=UB51_13285 PE=4 SV=1
A0A3M8E349/46-197    -            152 Bac_globin           PF01152.28   121    0.0052   15.5   0.0   1   1   0.00047    0.0076   15.0   0.0     9    57    27    74    26   126 0.87 tr|A0A3M8E349|A0A3M8E349_BREPA Globin-coupled sensor protein OS=Brevibacillus parabrevis OX=54914 GN=EDM60_21440 PE=4 SV=1
A0A2S6P404/8-157     -            150 Bac_globin           PF01152.28   121    0.0053   15.5   0.0   1   1   0.00049    0.0079   14.9   0.0    11    57    28    73    21    83 0.83 tr|A0A2S6P404|A0A2S6P404_9BACL Chemotaxis protein OS=Paenibacillus peoriae OX=59893 GN=C5G87_02710 PE=4 SV=1
J2ZMX0/36-186        -            151 Bac_globin           PF01152.28   121    0.0053   15.5   0.0   1   1   0.00047    0.0076   15.0   0.0    10   100    28   121    26   142 0.69 tr|J2ZMX0|J2ZMX0_9BACL Diguanylate cyclase (GGDEF) domain-containing protein OS=Brevibacillus sp. BC25 OX=1144308 GN=PMI05_05858 PE=4 SV=1
A0A0D0Q8I4/52-201    -            150 Bac_globin           PF01152.28   121    0.0056   15.4   0.0   1   1   0.00052    0.0085   14.8   0.0    10    57    27    73    25    95 0.84 tr|A0A0D0Q8I4|A0A0D0Q8I4_9BACI Heme-based aerotactic transducer hemAT OS=Anoxybacillus thermarum OX=404937 GN=LH47_01588 PE=4 SV=1
A0A2A5LE81/9-157     -            149 Bac_globin           PF01152.28   121    0.0056   15.4   0.0   1   1   0.00054    0.0088   14.8   0.0    11    56    27    71    24    96 0.84 tr|A0A2A5LE81|A0A2A5LE81_PAELA Chemotaxis protein OS=Paenibacillus lautus OX=1401 GN=CPZ30_23185 PE=4 SV=1
A0A3A3EH44/18-168    -            151 Bac_globin           PF01152.28   121    0.0059   15.4   0.0   1   1   0.00051    0.0082   14.9   0.0    10    82    28    99    26   138 0.71 tr|A0A3A3EH44|A0A3A3EH44_9GAMM GGDEF domain-containing protein OS=Pseudoalteromonas profundi OX=1774956 GN=D4741_12880 PE=4 SV=1
A0A1H9SFH7/33-183    -            151 Bac_globin           PF01152.28   121    0.0059   15.3   0.2   1   1   0.00065      0.01   14.6   0.2    10    80    28    95    26   133 0.76 tr|A0A1H9SFH7|A0A1H9SFH7_9BACI Heam-based aerotactic trancducer OS=Gracilibacillus ureilyticus OX=531814 GN=SAMN04487944_11112 PE=4 SV=1
A0A2M6ZQD1/11-153    -            143 Bac_globin           PF01152.28   121     0.006   15.3   0.1   1   1   0.00058    0.0094   14.7   0.1    10    65    20    76    18   131 0.71 tr|A0A2M6ZQD1|A0A2M6ZQD1_9DELT Heme-binding sensor globin domain-containing protein OS=Deltaproteobacteria bacterium CG07_land_8_20_14_0_80_60_11 OX=1973972 GN=COS90_00190 PE=4 SV=1
A0A1B9AYL9/33-186    -            154 Bac_globin           PF01152.28   121     0.006   15.3   0.1   1   1   0.00053    0.0086   14.8   0.1    10    82    29   100    27   143 0.69 tr|A0A1B9AYL9|A0A1B9AYL9_9BACI Methyl-accepting transducer domain-containing protein OS=Bacillus wudalianchiensis OX=1743143 GN=A8F95_05600 PE=4 SV=1
E3EFM8/8-157         -            150 Bac_globin           PF01152.28   121     0.006   15.3   0.0   1   1   0.00058    0.0094   14.7   0.0    11    57    28    73    21    83 0.82 tr|E3EFM8|E3EFM8_PAEPS Chemotaxis protein OS=Paenibacillus polymyxa (strain SC2) OX=886882 GN=hemAT PE=4 SV=1
A0A3G8R489/8-157     -            150 Bac_globin           PF01152.28   121    0.0061   15.3   0.0   1   1   0.00058    0.0094   14.7   0.0    11    57    28    73    21    83 0.82 tr|A0A3G8R489|A0A3G8R489_9BACL Chemotaxis protein OS=Paenibacillus sp. M-152 OX=2487928 GN=EGM68_07835 PE=4 SV=1
A8W975/52-201        -            150 Bac_globin           PF01152.28   121    0.0061   15.3   0.0   1   1   0.00059    0.0095   14.7   0.0    10    57    27    73    25    95 0.84 tr|A8W975|A8W975_9BACI Heme-based aerotactic transducer OS=Anoxybacillus flavithermus OX=33934 GN=hemAT PE=4 SV=1
B7GKR4/52-201        -            150 Bac_globin           PF01152.28   121    0.0061   15.3   0.0   1   1   0.00059    0.0095   14.7   0.0    10    57    27    73    25    95 0.84 tr|B7GKR4|B7GKR4_ANOFW Methyl-accepting chemotaxis protein OS=Anoxybacillus flavithermus (strain DSM 21510 / WK1) OX=491915 GN=hemAT PE=4 SV=1
A0A1Y6BQ56/15-160    -            146 Bac_globin           PF01152.28   121    0.0061   15.3   0.0   1   1   0.00052    0.0084   14.9   0.0    14   106    26   123    23   134 0.83 tr|A0A1Y6BQ56|A0A1Y6BQ56_9NEIS Diguanylate cyclase (GGDEF) domain-containing protein OS=Pseudogulbenkiania subflava DSM 22618 OX=1123014 GN=SAMN02745746_01981 PE=4 SV=1
A0A094JWZ8/52-201    -            150 Bac_globin           PF01152.28   121    0.0063   15.2   0.0   1   1   0.00059    0.0095   14.7   0.0    10    57    27    73    25    95 0.84 tr|A0A094JWZ8|A0A094JWZ8_9BACI Chemotaxis protein OS=Anoxybacillus sp. KU2-6(11) OX=1535751 GN=JS80_09235 PE=4 SV=1
A0A2G5RQY5/52-201    -            150 Bac_globin           PF01152.28   121    0.0063   15.2   0.0   1   1   0.00059    0.0095   14.7   0.0    10    57    27    73    25    95 0.84 tr|A0A2G5RQY5|A0A2G5RQY5_9BACI Chemotaxis protein OS=Anoxybacillus flavithermus OX=33934 GN=CS060_06415 PE=4 SV=1
A0A1I3PP01/10-157    -            148 Bac_globin           PF01152.28   121    0.0064   15.2   0.0   1   1   0.00065     0.011   14.5   0.0    13    57    28    71    23    81 0.84 tr|A0A1I3PP01|A0A1I3PP01_9BACL Heam-based aerotactic trancducer OS=Paenibacillus sp. UNC496MF OX=1502753 GN=SAMN02799624_03709 PE=4 SV=1
W7Y5Z9/7-156         -            150 Bac_globin           PF01152.28   121    0.0065   15.2   0.0   1   1   0.00063      0.01   14.6   0.0    11    57    29    74    26    85 0.83 tr|W7Y5Z9|W7Y5Z9_9BACL Chemotaxis sensory transducer OS=Paenibacillus pini JCM 16418 OX=1236976 GN=JCM16418_190 PE=4 SV=1
A0A078KV31/15-157    -            143 Bac_globin           PF01152.28   121    0.0065   15.2   0.7   1   1   0.00092     0.015   14.1   0.6     8    75    19    85    13   129 0.71 tr|A0A078KV31|A0A078KV31_9GAMM Autoinducer 2 sensor kinase/phosphatase LuxQ OS=Legionella massiliensis OX=1034943 GN=luxQ_3 PE=4 SV=1
